,1910, 1911, 1912, 1913, 1914, 1915, 1916, 1917, 1918, 1919, 1920, 1921, 1922, 1923, 1924, 1925, 1926, 1927, 1928, 1929, 1930, 1931, 1932, 1933, 1934, 1935, 1936, 1937, 1938, 1939, 1940, 1941, 1942, 1943, 1944, 1945, 1946, 1947, 1948, 1949, 1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, allTime, allTime
KS, 0.04474, 0.0412, 0.03534, 0.03305, 0.0324, 0.02718, 0.02622, 0.02653, 0.02546, 0.02594, 0.02478, 0.02443, 0.02463, 0.02474, 0.02556, 0.02473, 0.02485, 0.02624, 0.026, 0.02583, 0.02572, 0.02614, 0.02607, 0.02757, 0.02641, 0.02761, 0.02693, 0.02782, 0.02756, 0.02683, 0.02642, 0.02604, 0.0253, 0.02459, 0.02424, 0.02508, 0.02308, 0.02218, 0.02166, 0.02247, 0.02274, 0.02191, 0.02175, 0.02136, 0.02157, 0.02189, 0.02231, 0.02308, 0.0233, 0.02362, 0.02382, 0.02411, 0.02562, 0.02654, 0.02788, 0.02865, 0.03059, 0.03209, 0.03151, 0.0319, 0.032, 0.0334, 0.03424, 0.03559, 0.03404, 0.03636, 0.03526, 0.03344, 0.03296, 0.03241, 0.03129, 0.03128, 0.03216, 0.03133, 0.03127, 0.03173, 0.03337, 0.03308, 0.03464, 0.03482, 0.03504, 0.03584, 0.03698, 0.03904, 0.03945, 0.04035, 0.03996, 0.04294, 0.04284, 0.0449, 0.0452, 0.04596, 0.04685, 0.0468, 0.04913, 0.04944, 0.04974, 0.05067, 0.05187, 0.05451, 0.05468, 0.05504, 0.0548, 0.05527, 0.05441, 0.05685, 0.05704, 0.05696, 0.05582, 0.05962, 0.13682, 
KY, 0.03205, 0.03112, 0.02847, 0.02601, 0.02491, 0.02166, 0.02158, 0.02088, 0.02024, 0.0199, 0.01943, 0.0191, 0.01927, 0.01932, 0.01889, 0.01901, 0.01887, 0.01928, 0.01924, 0.01988, 0.01927, 0.01993, 0.0191, 0.02013, 0.01847, 0.01951, 0.01893, 0.01924, 0.01881, 0.01908, 0.01818, 0.01849, 0.01815, 0.0182, 0.01844, 0.0185, 0.01649, 0.01557, 0.01595, 0.01629, 0.01613, 0.01624, 0.01645, 0.01702, 0.0165, 0.01677, 0.01741, 0.01779, 0.01787, 0.01798, 0.01825, 0.01921, 0.01914, 0.01982, 0.02067, 0.02009, 0.02183, 0.02248, 0.02283, 0.02281, 0.02228, 0.02276, 0.02438, 0.02501, 0.02481, 0.0247, 0.02454, 0.02436, 0.02475, 0.02479, 0.02377, 0.02396, 0.0243, 0.02423, 0.02535, 0.02541, 0.02549, 0.02667, 0.02767, 0.0272, 0.02708, 0.02805, 0.02941, 0.02997, 0.03026, 0.03046, 0.03096, 0.03103, 0.03198, 0.0333, 0.03296, 0.03476, 0.03467, 0.03531, 0.04111, 0.03839, 0.03855, 0.03934, 0.04159, 0.04117, 0.04387, 0.04425, 0.04368, 0.04505, 0.04485, 0.0464, 0.04611, 0.04841, 0.04823, 0.04967, 0.11403, 
LA, 0.0376, 0.03742, 0.03395, 0.03501, 0.03127, 0.02936, 0.02899, 0.02809, 0.02675, 0.02516, 0.02506, 0.02402, 0.0239, 0.02378, 0.02391, 0.0236, 0.02284, 0.02396, 0.02475, 0.02502, 0.02513, 0.02537, 0.02497, 0.02589, 0.02594, 0.0249, 0.02471, 0.02416, 0.02404, 0.02355, 0.02277, 0.0223, 0.02163, 0.0215, 0.02129, 0.02123, 0.01952, 0.0185, 0.01885, 0.01827, 0.01882, 0.01795, 0.01843, 0.01817, 0.01825, 0.01861, 0.01859, 0.01876, 0.01906, 0.0196, 0.01973, 0.02088, 0.02102, 0.02148, 0.02231, 0.02307, 0.02396, 0.02425, 0.02575, 0.02501, 0.02637, 0.02704, 0.0291, 0.03102, 0.03058, 0.03169, 0.03247, 0.03223, 0.03192, 0.03177, 0.03084, 0.03024, 0.02927, 0.02889, 0.02875, 0.02995, 0.03071, 0.03151, 0.03246, 0.03227, 0.03289, 0.03445, 0.03486, 0.03631, 0.03587, 0.03628, 0.03666, 0.03651, 0.03823, 0.03912, 0.0393, 0.04035, 0.04104, 0.04359, 0.04378, 0.04553, 0.04431, 0.04692, 0.04719, 0.04873, 0.04972, 0.04867, 0.04969, 0.04844, 0.04769, 0.04879, 0.04746, 0.05006, 0.05063, 0.05229, 0.12474, 
MA, 0.02279, 0.01977, 0.01796, 0.01646, 0.01485, 0.01349, 0.01347, 0.01245, 0.01278, 0.01281, 0.01189, 0.0116, 0.01225, 0.01226, 0.01144, 0.01215, 0.01216, 0.01219, 0.01192, 0.01228, 0.01212, 0.0123, 0.01243, 0.01254, 0.01288, 0.01307, 0.01326, 0.01308, 0.01346, 0.01336, 0.01249, 0.01257, 0.01149, 0.01118, 0.012, 0.01258, 0.01088, 0.01037, 0.01077, 0.01065, 0.01063, 0.01035, 0.01008, 0.01059, 0.0101, 0.01039, 0.01053, 0.0106, 0.01101, 0.01147, 0.01146, 0.01147, 0.01191, 0.01216, 0.01205, 0.01325, 0.01337, 0.01423, 0.01511, 0.01574, 0.01621, 0.01727, 0.01864, 0.01997, 0.02083, 0.02124, 0.02204, 0.02155, 0.02171, 0.0217, 0.02115, 0.02135, 0.02109, 0.02064, 0.02079, 0.02079, 0.02106, 0.02141, 0.02206, 0.02201, 0.02202, 0.02297, 0.02322, 0.02356, 0.02454, 0.02491, 0.02528, 0.02585, 0.02706, 0.02793, 0.02758, 0.02925, 0.02954, 0.03023, 0.03174, 0.03303, 0.0347, 0.03517, 0.03587, 0.03663, 0.03734, 0.0371, 0.03893, 0.03821, 0.03781, 0.03804, 0.03899, 0.03971, 0.04023, 0.03981, 0.11336, 
MD, 0.03668, 0.03628, 0.03113, 0.02958, 0.02604, 0.02277, 0.02208, 0.02167, 0.02022, 0.02021, 0.02038, 0.01981, 0.0203, 0.02064, 0.02041, 0.02157, 0.02201, 0.02116, 0.02251, 0.02276, 0.02298, 0.02456, 0.02346, 0.0247, 0.02365, 0.02488, 0.02574, 0.02489, 0.02445, 0.02471, 0.02409, 0.02199, 0.02016, 0.01952, 0.02036, 0.02073, 0.01885, 0.0175, 0.01872, 0.01866, 0.01912, 0.01761, 0.01807, 0.01796, 0.01676, 0.01738, 0.01772, 0.01766, 0.0181, 0.01824, 0.01845, 0.01919, 0.01946, 0.01962, 0.01999, 0.02003, 0.02103, 0.02238, 0.02275, 0.02328, 0.023, 0.0247, 0.02667, 0.02893, 0.02912, 0.03021, 0.03123, 0.03137, 0.03078, 0.03013, 0.02971, 0.02937, 0.02876, 0.02787, 0.02762, 0.02707, 0.02724, 0.02764, 0.02779, 0.02689, 0.02796, 0.02832, 0.02973, 0.03029, 0.03135, 0.03156, 0.03221, 0.03402, 0.03489, 0.0353, 0.03558, 0.03705, 0.0379, 0.03792, 0.03882, 0.03925, 0.0397, 0.04094, 0.04262, 0.04261, 0.04304, 0.04404, 0.04309, 0.04287, 0.04261, 0.04345, 0.04469, 0.04518, 0.04604, 0.04693, 0.13798, 
ME, 0.06295, 0.05977, 0.05361, 0.05359, 0.04328, 0.04127, 0.04127, 0.03716, 0.0382, 0.03869, 0.03492, 0.03595, 0.03532, 0.03642, 0.03466, 0.03599, 0.03635, 0.0348, 0.03681, 0.03578, 0.03524, 0.03613, 0.03381, 0.03786, 0.03646, 0.03571, 0.03687, 0.03685, 0.0373, 0.0376, 0.03558, 0.03376, 0.03321, 0.03, 0.03163, 0.0343, 0.02953, 0.0268, 0.02748, 0.02825, 0.02917, 0.02962, 0.03017, 0.02989, 0.03033, 0.02961, 0.02966, 0.02927, 0.03052, 0.03006, 0.02918, 0.03024, 0.03115, 0.03155, 0.03311, 0.03398, 0.03631, 0.03612, 0.03904, 0.03931, 0.04063, 0.03942, 0.04066, 0.04257, 0.04399, 0.04227, 0.0415, 0.04349, 0.04276, 0.04249, 0.04192, 0.04153, 0.04167, 0.03974, 0.03996, 0.04182, 0.04264, 0.03926, 0.04077, 0.04225, 0.04011, 0.04195, 0.04269, 0.0462, 0.0481, 0.05109, 0.05125, 0.05283, 0.05312, 0.05494, 0.05602, 0.05605, 0.0577, 0.06006, 0.06193, 0.06243, 0.06453, 0.06662, 0.06843, 0.06719, 0.07221, 0.07139, 0.0711, 0.07127, 0.07462, 0.07514, 0.07441, 0.07596, 0.07541, 0.07718, 0.14265, 
MI, 0.0317, 0.03021, 0.02459, 0.02267, 0.02043, 0.01718, 0.0163, 0.01566, 0.01501, 0.01541, 0.01451, 0.01424, 0.01413, 0.01422, 0.01386, 0.01358, 0.01353, 0.01357, 0.01409, 0.01318, 0.01305, 0.0135, 0.01414, 0.01476, 0.01404, 0.0136, 0.01357, 0.01352, 0.01306, 0.01299, 0.01285, 0.01237, 0.01175, 0.01168, 0.01249, 0.01227, 0.0114, 0.01067, 0.01069, 0.01086, 0.01077, 0.0103, 0.0103, 0.01011, 0.01021, 0.0104, 0.01024, 0.01039, 0.01063, 0.01075, 0.01105, 0.01147, 0.01184, 0.01193, 0.01234, 0.01272, 0.01319, 0.01384, 0.01427, 0.01467, 0.01504, 0.01595, 0.01708, 0.01841, 0.01863, 0.01899, 0.01921, 0.01919, 0.0191, 0.01893, 0.01875, 0.01882, 0.01857, 0.01899, 0.01881, 0.01921, 0.0198, 0.01989, 0.02039, 0.02027, 0.02104, 0.02196, 0.02324, 0.02337, 0.02393, 0.02353, 0.02454, 0.02529, 0.0264, 0.02707, 0.02713, 0.028, 0.02864, 0.02975, 0.02957, 0.03111, 0.03154, 0.03215, 0.03371, 0.03554, 0.03525, 0.03485, 0.03446, 0.0347, 0.0349, 0.03536, 0.03662, 0.03653, 0.03558, 0.03653, 0.13423, 
MN, 0.03632, 0.03525, 0.03023, 0.02816, 0.02606, 0.02065, 0.02134, 0.01974, 0.01976, 0.01971, 0.01899, 0.01845, 0.01826, 0.01856, 0.01822, 0.01877, 0.01932, 0.01889, 0.01935, 0.01989, 0.01941, 0.01998, 0.01978, 0.01981, 0.02041, 0.01867, 0.01821, 0.01908, 0.01886, 0.01881, 0.0181, 0.01731, 0.0165, 0.01607, 0.01601, 0.01794, 0.01596, 0.01476, 0.01462, 0.01452, 0.01498, 0.01381, 0.01395, 0.01433, 0.01416, 0.01421, 0.01411, 0.01399, 0.01436, 0.01409, 0.01396, 0.01507, 0.01491, 0.01532, 0.01654, 0.01694, 0.01755, 0.01783, 0.01821, 0.01895, 0.0193, 0.02065, 0.02119, 0.02217, 0.02227, 0.02169, 0.02178, 0.02199, 0.02189, 0.02128, 0.02186, 0.02151, 0.0213, 0.02113, 0.02145, 0.0219, 0.02248, 0.02346, 0.02356, 0.02393, 0.02445, 0.02556, 0.02624, 0.02624, 0.02701, 0.02815, 0.02904, 0.02979, 0.03024, 0.03075, 0.03102, 0.03293, 0.03234, 0.03312, 0.03464, 0.0355, 0.03647, 0.03782, 0.03855, 0.03944, 0.03956, 0.03982, 0.04134, 0.04073, 0.04088, 0.04172, 0.04235, 0.04308, 0.04301, 0.04382, 0.13317, 
MO, 0.03029, 0.02868, 0.02593, 0.02407, 0.02314, 0.01968, 0.01886, 0.01929, 0.01845, 0.01934, 0.01846, 0.01791, 0.01851, 0.01808, 0.0177, 0.01755, 0.01785, 0.01796, 0.01837, 0.0189, 0.01797, 0.01813, 0.01848, 0.01884, 0.01806, 0.01871, 0.01874, 0.01859, 0.01878, 0.01861, 0.01727, 0.01687, 0.01626, 0.01623, 0.0165, 0.01639, 0.01519, 0.01386, 0.01476, 0.01489, 0.01502, 0.01453, 0.01442, 0.01465, 0.01481, 0.01485, 0.01496, 0.01563, 0.01545, 0.01574, 0.01571, 0.01621, 0.01639, 0.01704, 0.01744, 0.01793, 0.01923, 0.01993, 0.02025, 0.0196, 0.0198, 0.02132, 0.0226, 0.02326, 0.02386, 0.024, 0.02376, 0.02395, 0.02463, 0.02308, 0.02259, 0.02257, 0.02343, 0.02265, 0.02268, 0.02249, 0.02299, 0.02337, 0.02406, 0.02459, 0.02505, 0.02645, 0.02685, 0.02765, 0.02764, 0.02853, 0.02904, 0.03026, 0.03073, 0.03039, 0.03111, 0.03216, 0.0331, 0.03382, 0.03457, 0.03662, 0.03658, 0.03736, 0.03826, 0.03945, 0.04063, 0.0407, 0.04128, 0.04021, 0.04184, 0.04129, 0.04208, 0.04235, 0.0429, 0.04319, 0.12148, 
MS, 0.03211, 0.03562, 0.03232, 0.03095, 0.02912, 0.02718, 0.02705, 0.02693, 0.02597, 0.02486, 0.02495, 0.02463, 0.02359, 0.02411, 0.02416, 0.02376, 0.0237, 0.02245, 0.02426, 0.02389, 0.02391, 0.02454, 0.02348, 0.02442, 0.02408, 0.02425, 0.02345, 0.02326, 0.02248, 0.02287, 0.02269, 0.02201, 0.02169, 0.02189, 0.02124, 0.02189, 0.02015, 0.01972, 0.01907, 0.01961, 0.01927, 0.01968, 0.02001, 0.02053, 0.01999, 0.02077, 0.02146, 0.02166, 0.02309, 0.0233, 0.02386, 0.02424, 0.02487, 0.02496, 0.026, 0.02716, 0.02847, 0.02927, 0.03016, 0.03036, 0.03114, 0.03249, 0.03357, 0.03462, 0.03528, 0.03691, 0.03746, 0.03745, 0.03867, 0.03721, 0.03666, 0.0365, 0.03616, 0.03628, 0.03789, 0.03685, 0.03971, 0.0394, 0.04062, 0.03812, 0.03971, 0.04144, 0.04309, 0.04418, 0.04327, 0.04474, 0.04568, 0.04628, 0.04803, 0.0476, 0.04898, 0.05155, 0.05197, 0.0527, 0.0524, 0.05455, 0.05473, 0.05582, 0.05525, 0.05762, 0.05992, 0.05973, 0.05969, 0.0589, 0.05754, 0.05872, 0.06026, 0.06086, 0.06044, 0.06337, 0.11681, 
MT, 0.07826, 0.07357, 0.05879, 0.0594, 0.05229, 0.04084, 0.04121, 0.03737, 0.03644, 0.0386, 0.04045, 0.04064, 0.0406, 0.04374, 0.04343, 0.04363, 0.04527, 0.04631, 0.04613, 0.04614, 0.04583, 0.04762, 0.04877, 0.04901, 0.04831, 0.0445, 0.0444, 0.04926, 0.04764, 0.0451, 0.0439, 0.04259, 0.04445, 0.04406, 0.04458, 0.04527, 0.04162, 0.03808, 0.03875, 0.03732, 0.03672, 0.039, 0.0387, 0.03909, 0.03854, 0.04062, 0.04199, 0.04131, 0.04246, 0.04491, 0.04473, 0.04353, 0.04747, 0.04903, 0.05172, 0.05591, 0.05519, 0.05843, 0.05533, 0.06143, 0.05694, 0.05967, 0.05957, 0.05945, 0.05643, 0.05922, 0.0582, 0.05638, 0.05305, 0.05599, 0.0525, 0.05414, 0.05352, 0.05465, 0.05129, 0.05625, 0.05686, 0.0567, 0.06037, 0.05882, 0.06355, 0.06086, 0.06202, 0.06306, 0.06633, 0.06703, 0.0681, 0.07286, 0.07125, 0.07323, 0.07468, 0.07568, 0.0783, 0.07939, 0.07833, 0.08074, 0.08075, 0.08415, 0.08648, 0.08542, 0.0846, 0.08859, 0.08586, 0.09055, 0.08884, 0.08878, 0.0901, 0.08935, 0.08984, 0.09394, 0.15359, 
NC, 0.02737, 0.02647, 0.02482, 0.02255, 0.02078, 0.01888, 0.0185, 0.01739, 0.01772, 0.01657, 0.01631, 0.01613, 0.0161, 0.01508, 0.01549, 0.01585, 0.01552, 0.01535, 0.01545, 0.01619, 0.01576, 0.01656, 0.01554, 0.01636, 0.0155, 0.01512, 0.01563, 0.01561, 0.01566, 0.01542, 0.01461, 0.01489, 0.01439, 0.01386, 0.01499, 0.01471, 0.01362, 0.01267, 0.01326, 0.01348, 0.01371, 0.01377, 0.0133, 0.01386, 0.01357, 0.01437, 0.01464, 0.0147, 0.01514, 0.01518, 0.01552, 0.01589, 0.01582, 0.01628, 0.01707, 0.01735, 0.01782, 0.01883, 0.01873, 0.01865, 0.01867, 0.01977, 0.02114, 0.02203, 0.02293, 0.02355, 0.02379, 0.02443, 0.02552, 0.02516, 0.02496, 0.02456, 0.02436, 0.02442, 0.02406, 0.02414, 0.02481, 0.02389, 0.02423, 0.02394, 0.02426, 0.02524, 0.02613, 0.02616, 0.02637, 0.02737, 0.02722, 0.02834, 0.02887, 0.02968, 0.02921, 0.03089, 0.03163, 0.03215, 0.03245, 0.03239, 0.03309, 0.03369, 0.03427, 0.03534, 0.03624, 0.0361, 0.03579, 0.03594, 0.03573, 0.03493, 0.03522, 0.03585, 0.0362, 0.037, 0.12416, 
ND, 0.053, 0.05457, 0.05077, 0.04681, 0.04296, 0.03599, 0.03347, 0.03409, 0.03329, 0.03291, 0.03521, 0.03424, 0.03564, 0.03581, 0.0371, 0.03564, 0.03615, 0.03788, 0.0358, 0.03594, 0.03859, 0.03727, 0.03786, 0.04012, 0.04001, 0.04044, 0.03773, 0.04075, 0.04231, 0.04035, 0.03855, 0.03897, 0.04018, 0.03763, 0.03777, 0.03693, 0.03622, 0.03291, 0.03475, 0.03538, 0.03323, 0.03607, 0.03617, 0.03835, 0.03878, 0.03953, 0.03967, 0.03893, 0.0399, 0.04105, 0.04218, 0.04207, 0.04136, 0.04621, 0.04441, 0.04708, 0.04668, 0.05214, 0.05511, 0.05005, 0.05094, 0.05263, 0.05183, 0.05782, 0.0535, 0.05078, 0.05215, 0.04846, 0.05017, 0.04802, 0.04681, 0.04681, 0.04639, 0.04353, 0.04632, 0.04741, 0.05092, 0.04817, 0.05083, 0.05251, 0.05232, 0.0572, 0.05835, 0.0586, 0.05696, 0.06356, 0.06485, 0.06406, 0.06667, 0.06787, 0.07155, 0.07578, 0.07186, 0.07268, 0.07397, 0.07654, 0.07695, 0.07743, 0.08099, 0.08172, 0.08504, 0.08037, 0.08229, 0.07925, 0.08195, 0.08161, 0.08131, 0.0868, 0.08688, 0.08874, 0.13987, 
NE, 0.04634, 0.04639, 0.03874, 0.03747, 0.03555, 0.03074, 0.02922, 0.0288, 0.02833, 0.029, 0.02771, 0.02754, 0.02713, 0.02828, 0.02818, 0.02797, 0.02952, 0.02872, 0.02919, 0.02762, 0.02768, 0.02783, 0.02975, 0.02893, 0.02892, 0.02933, 0.02854, 0.03027, 0.02889, 0.0291, 0.02779, 0.02892, 0.02776, 0.02685, 0.02617, 0.02687, 0.02502, 0.02391, 0.02432, 0.02388, 0.02408, 0.02409, 0.02403, 0.02457, 0.02397, 0.02487, 0.02565, 0.02653, 0.02681, 0.02647, 0.02745, 0.02713, 0.02691, 0.02782, 0.02841, 0.02971, 0.0328, 0.03552, 0.03411, 0.03411, 0.03474, 0.03463, 0.0371, 0.03633, 0.03609, 0.03658, 0.03438, 0.0351, 0.03553, 0.03397, 0.03522, 0.03399, 0.03374, 0.03373, 0.03496, 0.03409, 0.03592, 0.03727, 0.0368, 0.0375, 0.03799, 0.03861, 0.0405, 0.0431, 0.04335, 0.04512, 0.04624, 0.04705, 0.04797, 0.04915, 0.05063, 0.05022, 0.05254, 0.0527, 0.0553, 0.0548, 0.05705, 0.05856, 0.06025, 0.06204, 0.06297, 0.06282, 0.06303, 0.06443, 0.06345, 0.06233, 0.06343, 0.06737, 0.06525, 0.06821, 0.13722, 
NH, 0.07756, 0.07156, 0.06782, 0.066, 0.05556, 0.04944, 0.04824, 0.05, 0.0461, 0.0473, 0.04473, 0.0433, 0.04539, 0.04442, 0.04596, 0.04194, 0.04422, 0.0423, 0.04348, 0.04528, 0.04351, 0.04539, 0.04358, 0.04608, 0.04346, 0.04457, 0.04466, 0.04689, 0.04582, 0.04411, 0.04212, 0.03985, 0.03953, 0.03878, 0.04203, 0.04101, 0.03649, 0.03148, 0.03501, 0.03398, 0.03687, 0.03707, 0.03721, 0.03748, 0.03792, 0.03852, 0.03545, 0.03718, 0.03812, 0.03758, 0.03809, 0.03754, 0.03834, 0.04057, 0.03981, 0.04182, 0.04427, 0.04277, 0.04462, 0.0436, 0.04472, 0.04461, 0.04743, 0.04824, 0.05005, 0.04911, 0.04759, 0.04627, 0.04325, 0.04152, 0.04064, 0.04228, 0.04317, 0.04171, 0.04079, 0.04186, 0.03919, 0.03852, 0.03861, 0.03948, 0.04132, 0.04174, 0.04391, 0.04559, 0.04527, 0.04581, 0.04896, 0.04843, 0.05124, 0.05307, 0.05375, 0.05473, 0.05463, 0.0557, 0.05789, 0.05945, 0.06285, 0.06263, 0.06599, 0.0648, 0.06836, 0.0689, 0.06977, 0.07043, 0.07438, 0.06941, 0.07331, 0.07145, 0.07048, 0.07323, 0.15396, 
NJ, 0.02718, 0.02357, 0.01995, 0.01763, 0.01535, 0.01361, 0.01317, 0.01292, 0.01248, 0.01251, 0.01233, 0.01258, 0.01283, 0.01334, 0.01257, 0.01299, 0.01365, 0.01349, 0.01367, 0.01385, 0.01387, 0.01421, 0.0144, 0.01488, 0.01561, 0.01542, 0.016, 0.01622, 0.01599, 0.01676, 0.01583, 0.01491, 0.01334, 0.01361, 0.0139, 0.01424, 0.01246, 0.01211, 0.01254, 0.01291, 0.01311, 0.01211, 0.01203, 0.01226, 0.01157, 0.0121, 0.01216, 0.01252, 0.01279, 0.01333, 0.01333, 0.01365, 0.0138, 0.01395, 0.01379, 0.01513, 0.01563, 0.01624, 0.01735, 0.01773, 0.01824, 0.01925, 0.0217, 0.02305, 0.02343, 0.02465, 0.02493, 0.02509, 0.02625, 0.02622, 0.02597, 0.02534, 0.02459, 0.02411, 0.02347, 0.02329, 0.02387, 0.02344, 0.02317, 0.02296, 0.02377, 0.02432, 0.02475, 0.02493, 0.0254, 0.02633, 0.02641, 0.02766, 0.02823, 0.02825, 0.02917, 0.03078, 0.03024, 0.03162, 0.03166, 0.03292, 0.03313, 0.03481, 0.03511, 0.03636, 0.03666, 0.03711, 0.03773, 0.03734, 0.03687, 0.03686, 0.03686, 0.03782, 0.03831, 0.03823, 0.13012, 
NM, 0.08882, 0.09277, 0.0857, 0.08439, 0.07568, 0.06914, 0.06507, 0.06763, 0.06217, 0.06381, 0.06054, 0.0588, 0.05787, 0.06066, 0.05896, 0.05989, 0.06046, 0.05926, 0.05928, 0.06069, 0.0559, 0.05613, 0.05627, 0.05654, 0.0547, 0.05086, 0.05269, 0.05305, 0.05087, 0.04826, 0.04993, 0.04638, 0.04882, 0.04624, 0.0442, 0.04498, 0.04098, 0.03832, 0.0376, 0.03831, 0.03723, 0.0363, 0.0354, 0.03602, 0.03557, 0.0359, 0.03551, 0.03599, 0.03568, 0.03483, 0.03582, 0.03647, 0.03808, 0.03887, 0.03884, 0.0425, 0.046, 0.04638, 0.0495, 0.04896, 0.04747, 0.0512, 0.04963, 0.05101, 0.0517, 0.05352, 0.05164, 0.04979, 0.04948, 0.0489, 0.04471, 0.04721, 0.04488, 0.04337, 0.04678, 0.04584, 0.0474, 0.04679, 0.04626, 0.04664, 0.04935, 0.05013, 0.05081, 0.05089, 0.05213, 0.0524, 0.05206, 0.05415, 0.05459, 0.05328, 0.05716, 0.05786, 0.059, 0.06175, 0.06359, 0.06297, 0.0628, 0.0654, 0.06577, 0.06925, 0.06908, 0.06954, 0.07021, 0.07135, 0.07174, 0.07188, 0.07409, 0.07493, 0.07537, 0.07345, 0.15956, 
